product,cost,rating
Bandage - Fexible 1x3,$64.25,1
V8 Pet,$96.15,2
V8 Pet,$44.29,3
Parsnip,$96.44,4
Orange - Blood,$41.00,5
Sesame Seed,$40.36,6
Lobster - Canned Premium,$13.88,7
Cactus Pads,$50.19,8
Beer - Heinekin,$13.82,9
Wine - Sawmill Creek Autumn,$26.58,10
Creme De Cacao White,$39.44,11
"Salsify, Organic",$27.12,12
Pepper - Chilli Seeds Mild,$62.20,13
Calypso - Pineapple Passion,$45.44,14
"Stock - Veal, White",$47.97,15
Cookie Chocolate Chip With,$54.88,16
Irish Cream - Butterscotch,$89.07,17
Longos - Grilled Chicken With,$46.23,18
"Tabasco Sauce, 2 Oz",$17.81,19
Pepper - Cubanelle,$39.98,20
"Chocolate - Milk, Callets",$12.26,21
"Bag - Bread, White, Plain",$73.79,22
Filo Dough,$59.02,23
Coffee - Decafenated,$89.85,24
Wine - Hardys Bankside Shiraz,$86.35,25
Pimento - Canned,$31.73,26
Syrup - Chocolate,$62.55,27
Soup - Campbells Asian Noodle,$52.97,28
"Bread - Pullman, Sliced",$52.91,29
Cod - Fillets,$71.25,30
Tart - Raisin And Pecan,$93.74,31
Wine - Piper Heidsieck Brut,$74.61,32
Cream Of Tartar,$7.46,33
"Crab - Dungeness, Whole",$85.61,34
Soup - Campbells Tomato Ravioli,$9.77,35
Celery,$45.09,36
Plasticknivesblack,$91.74,37
Cactus Pads,$13.48,38
Cake - Pancake,$1.10,39
"Zucchini - Mini, Green",$51.57,40
Hersey Shakes,$59.17,41
"Lamb - Pieces, Diced",$57.95,42
Appetizer - Cheese Bites,$24.23,43
"Bread - Bagels, Mini",$56.08,44
Beer - Upper Canada Light,$74.80,45
"Oranges - Navel, 72",$86.21,46
Whmis - Spray Bottle Trigger,$5.92,47
Capers - Pickled,$45.21,48
"Mushroom - Shitake, Fresh",$70.76,49
Glass - Juice Clear 5oz 55005,$49.27,50
Cookies - Englishbay Chochip,$26.64,51
Bar - Granola Trail Mix Fruit Nut,$62.25,52
"Quail - Eggs, Fresh",$69.31,53
Wine - Crozes Hermitage E.,$61.95,54
Wasabi Paste,$53.63,55
Tomatoes Tear Drop,$41.17,56
Tomatoes Tear Drop,$55.27,57
Cheese - Mozzarella,$94.06,58
"Bread - Pumpernickle, Rounds",$8.99,59
Wine - Charddonnay Errazuriz,$44.85,60
Absolut Citron,$18.99,61
Beans - Yellow,$48.38,62
Pasta - Fusili Tri - Coloured,$45.70,63
"Tortillas - Flour, 10",$3.51,64
Shiratamako - Rice Flour,$39.96,65
Muffin Orange Individual,$42.28,66
"Beef - Ground, Extra Lean, Fresh",$62.93,67
Tumeric,$6.77,68
"Stock - Veal, Brown",$92.54,69
Basil - Fresh,$76.00,70
Pork - Backfat,$66.60,71
Bread - White Mini Epi,$60.16,72
Ham - Proscuitto,$90.77,73
"Bread - Crumbs, Bulk",$78.90,74
Gherkin,$1.20,75
Wine - Segura Viudas Aria Brut,$82.14,76
Milk - Homo,$53.59,77
Dc Hikiage Hira Huba,$29.96,78
Horseradish Root,$47.45,79
Tomatoes Tear Drop,$2.47,80
"Pork - Bacon, Double Smoked",$4.41,81
Coconut Milk - Unsweetened,$93.30,82
Sprouts - Bean,$91.55,83
Sweet Pea Sprouts,$0.77,84
Sauce - Mint,$91.63,85
"Potatoes - Purple, Organic",$94.37,86
Muffin Carrot - Individual,$73.23,87
Tea Leaves - Oolong,$76.67,88
Wine - Barolo Fontanafredda,$83.03,89
Sugar - Palm,$31.65,90
"Chocolate - Pistoles, White",$84.46,91
Caviar - Salmon,$72.09,92
Soup - Cream Of Broccoli,$85.46,93
Wine - Chateau Bonnet,$17.15,94
Table Cloth 62x114 White,$92.93,95
French Pastry - Mini Chocolate,$52.76,96
Blouse / Shirt / Sweater,$57.02,97
Lettuce Romaine Chopped,$19.98,98
Squash - Acorn,$51.34,99
Nectarines,$88.49,100
